search_id,execution_date,pass_type,source_family,query_or_chase,scope,screened_count,retained_ids,material_new_work,notes
S01,2026-07-11,database_search,ACL Anthology,"budget-constrained OR cost-aware LLM routing; adaptive routing; multi-tenant routing",2023-2026,18,"R04;R06;R09;R10;R12;R17;R23",true,"Primary ACL pages used for metadata and DOI verification."
S02,2026-07-11,database_search,ICLR Proceedings/OpenReview,"LLM router cost quality budget output length joint routing",2023-2026,21,"R03;R07;R08;R15;R16;R19;R20;R22;R24;R28",true,"Accepted venue labels verified on proceedings or OpenReview; submissions not treated as accepted."
S03,2026-07-11,database_search,NeurIPS Proceedings,"LLM routing cascade budget output length scheduling delayed feedback",2019-2025,17,"R05;R21;R26;R27;R37;R38",true,"Primary proceedings records and PDFs."
S04,2026-07-11,database_search,PMLR,"routing cascading LLM budget bandits knapsacks prediction",2016-2025,16,"R18;R19;R20;R34;R36;R39;R40;R41",true,"PMLR citation blocks used as metadata authority."
S05,2026-07-11,database_search,USENIX,"multi-tenant LLM fairness scheduling serving output tokens",2011-2025,13,"R30;R31;R32;R47",true,"Official conference pages used."
S06,2026-07-11,database_search,ACM DL/primary author copy,"LLM serving PagedAttention escrow transactional reservation",1986-2025,11,"R33;R45",true,"DOIs checked against primary ACM records or author-hosted copy linked to DOI."
S07,2026-07-11,database_search,Springer/VLDB Journal,"transactional stream processing duplicate out-of-order exactly-once",2020-2026,8,R46,true,"Version-of-record DOI and review dates verified."
S08,2026-07-11,database_search,arXiv,"in-flight LLM liability reserve settle budget overrun delayed telemetry",2023-2026,14,"R01;R02;R25;R29",true,"Only clearly labelled preprints retained; arXiv DOI is not represented as peer review."
S09,2026-07-11,database_search,OpenReview/current proceedings,"2026 token budget model-token routing conformal routing deployment budget",2025-2026,19,"R03;R07;R08;R24",true,"Venue status read from the primary OpenReview invitation/decision context."
S10,2026-07-11,database_search,Routing benchmarks,"RouterBench LLMRouterBench routing benchmark oracle simple baseline",2024-2026,9,"R12;R13",true,"RouterBench classified as workshop; LLMRouterBench as Findings ACL 2026."
S11,2026-07-11,citation_chase,Backward citations from R01/R02/R04/R08,"escrow; BwK; delayed feedback; risk allocation; transactional processing",1986-2024,26,"R35;R36;R37;R38;R39;R40;R41;R42;R43;R45;R46",true,"Established ingredients located; no exact prior combination found."
S12,2026-07-11,citation_chase,Backward citations from R03/R09/R12,"FrugalGPT; Hybrid LLM; RouteLLM; cascades; output prediction",2023-2025,24,"R14;R15;R16;R18;R19;R20;R21;R22;R26;R27;R28",true,"Established routing and output-length line recovered."
