claim,evidence_type,environment,raw_file,notes,status
Real SEV-SNP evidence is used for the main AKS evaluation.,attestation-live,aks-real-sevsnp,article1/results/raw/aks/attestation-real-summary.json; article1/results/raw/aks/multinode-node-selection/evidence-initial.json,Current-node filtered summary and multi-node snapshot contain real non-simulated SEV-SNP evidence.,SUPPORTED
The evaluated AKS pool is node-level AMD SEV-SNP on DCasv6.,platform-live,aks-real-sevsnp,article1/results/raw/aks/aks-nodepool-conf-multinode-scale-request.json,"westus2 Standard_DC8as_v6; runtime runc means node-level CVM isolation, not pod-level Kata.",SUPPORTED
Minimal real AI workloads are governed by attestation-aware placement.,ai-workload-live,aks-real-sevsnp,article1/results/raw/aks/ai_workloads.csv,"OpenAI chat, OpenAI embedding, and local CPU inference all pass placement-token verification.",SUPPORTED
Multi-node confidential-node qualification was exercised on AKS.,multinode-live,aks-real-sevsnp,article1/results/raw/aks/multinode_node_selection.csv,"Four active confidential nodes were present in the snapshot; valid binds, revoked/expired/no-evidence cases do not bind.",SUPPORTED
Label-only placement controls are insufficient.,attack-live,aks-real-sevsnp,article1/results/raw/aks/security_attacks_A1_A11.csv,"A1 blocked 30/30; nodeSelector baseline is performance-only, not security evidence.",SUPPORTED
"Expired, revoked, wrong-TEE, simulated-runtime, missing-digest and race attacks are blocked.",attack-live,aks-real-sevsnp,article1/paper/tables/security_attack_matrix.csv,A2-A10 core attack matrix reports 30/30 blocked per attack class.,SUPPORTED
A confidential-GPU-required workload fails closed when GPU evidence is absent.,negative-control,aks-real-sevsnp,article1/results/raw/aks/a11_gpu_required_no_evidence.csv,"A11 is a fail-closed unsupported-evidence check, not confidential GPU evaluation.",SUPPORTED_SCOPE_CONTROL
B5 eliminates the externally schedulable B4 gate-removal-to-bind window.,baseline-live,aks-real-sevsnp,article1/results/raw/aks/b4_vs_b5.csv,B4 has measured gate-removal-to-bind window; B5 keeps the check inside scheduler PreBind and emits a token.,SUPPORTED
B1-B5 scheduling overhead is measured on AKS.,performance-live,aks-real-sevsnp,article1/results/raw/aks/performance_b1_b5_high_resolution.csv,30 measured runs per baseline plus 2 warmups; anti-quantization PASS.,SUPPORTED
Placement token identity binding is independently verifiable.,token-live,aks-real-sevsnp,article1/results/raw/aks/identity_binding.csv,Correct binding passes and field mutations fail.,SUPPORTED
Scheduler self-security RBAC is enforced for the evaluated scheduler.,rbac-live,aks-real-sevsnp,article1/results/raw/aks/scheduler_security_tests.csv,"RBAC minimality audit, not a full scheduler compromise proof.",SUPPORTED_SCOPE
kind results are used only for CI/debug/regression.,scope-rule,kind-live-simulated,article1/results/raw/kind/README_KIND_IS_REGRESSION_ONLY.md,No kind number is used as principal AKS security evidence.,SUPPORTED_SCOPE_RULE
Pod-level attestation is provided.,none,n/a,n/a,Out of scope; the article claims node-level SEV-SNP placement only.,NOT_CLAIMED
Confidential GPU or Intel TDX execution is evaluated.,none,n/a,n/a,Out of scope; A11 is only a fail-closed negative control.,NOT_CLAIMED
OpenAI service-side confidentiality or model confidentiality is provided.,none,n/a,n/a,Out of scope; AI workloads evaluate attested placement and digest binding only.,NOT_CLAIMED
