id,decision,metadata_verified,relevant,peer_reviewed,primary_source_url,verification_date,reason
R01,retain,true,true,false,https://arxiv.org/abs/2606.04056,2026-07-11,"Closest reservation/refund and budget-race preprint; single-process boundary is central."
R02,retain,true,true,false,https://arxiv.org/abs/2604.00136,2026-07-11,"Closest dollar-pacing and non-stationary routing preprint."
R03,retain,true,true,true,https://openreview.net/forum?id=S3m1tSp8F4,2026-07-11,"ICML 2026 joint model/output-budget routing."
R04,retain,true,true,true,https://aclanthology.org/2025.findings-emnlp.1301/,2026-07-11,"PILOT budget-constrained contextual-bandit router."
R05,retain,true,true,true,https://proceedings.neurips.cc/paper_files/paper/2025/hash/c878e34a1b2095ae8177961ba24d642d-Abstract-Conference.html,2026-07-11,"NeurIPS 2025 online token-budget routing; official proceedings record."
R06,retain,true,true,true,https://aclanthology.org/2026.acl-srw.70/,2026-07-11,"Accepted conformal LLM routing paper."
R07,retain,true,true,true,https://openreview.net/forum?id=auEvgVBpSF,2026-07-11,"ICML 2026 selection-conditioned routing risk control."
R08,retain,true,true,true,https://openreview.net/forum?id=JJ3cwtUxzo,2026-07-11,"ICLR 2026 deployment/routing under cost and throughput constraints."
R09,retain,true,true,true,https://aclanthology.org/2025.naacl-long.545/,2026-07-11,"NAACL 2025 dynamic quality/cost/latency routing."
R10,retain,true,true,true,https://aclanthology.org/2026.findings-acl.1946/,2026-07-11,"Multi-tenant scheduling and drift."
R11,retain,true,true,true,https://openreview.net/forum?id=U6C7odo5SX,2026-07-11,"COLM 2025 router control-plane integrity."
R12,retain,true,true,true,https://aclanthology.org/2026.findings-acl.1881/,2026-07-11,"Large unified routing benchmark and negative baseline evidence."
R13,retain,true,true,false,https://openreview.net/forum?id=IVXmV8Uxwh,2026-07-11,"Workshop benchmark; retained with non-main-conference status."
R14,retain,true,true,true,https://openreview.net/forum?id=cSimKw5p6R,2026-07-11,"TMLR cost-aware LLM cascade."
R15,retain,true,true,true,https://proceedings.iclr.cc/paper_files/paper/2024/hash/b47d93c99fa22ac0b377578af0a1f63a-Abstract-Conference.html,2026-07-11,"ICLR 2024 quality-aware router."
R16,retain,true,true,true,https://proceedings.iclr.cc/paper_files/paper/2025/hash/5503a7c69d48a2f86fc00b3dc09de686-Abstract-Conference.html,2026-07-11,"ICLR 2025 preference-trained router."
R17,retain,true,true,true,https://aclanthology.org/2025.acl-long.761/,2026-07-11,"ACL 2025 interpretable multi-model router."
R18,retain,true,true,true,https://proceedings.mlr.press/v267/ding25d.html,2026-07-11,"ICML 2025 adaptive test-time compute router."
R19,retain,true,true,true,https://proceedings.mlr.press/v267/dekoninck25a.html,2026-07-11,"ICML 2025 unified routing/cascading formulation."
R20,retain,true,true,true,https://proceedings.mlr.press/v267/chuang25b.html,2026-07-11,"ICML 2025 confidence-token router."
