reference_id,title,source,year,screening_stage,decision,reason,reviewer,date
pilot_2025,Adaptive LLM Routing under Budget Constraints,ACL Anthology,2025,full_text,include,Directly targets LLM routing under budget constraints,codex,2026-07-10
joulani_2013,Online Learning under Delayed Feedback,PMLR,2013,full_text,include,Foundational delayed feedback theory relevant to GOV-AR,codex,2026-07-10
ssjf_2024,Efficient Interactive LLM Serving with Proxy Model-based Sequence Length Prediction,arXiv/ASPLOS workshop,2024,full_text,include,Relevant to output token length prediction and scheduling,codex,2026-07-10
forelen_2026,Predicting LLM Output Length via Entropy-Guided Representations,arXiv,2026,full_text,include,Relevant recent preprint on sequence length prediction,codex,2026-07-10
cbwk_2023,Optimal Contextual Bandits with Knapsacks under Realizability via Regression Oracles,PMLR,2023,full_text,include,Relevant theory for contextual resource-constrained online decisions,codex,2026-07-10
frugalgpt_2023,FrugalGPT: How to Use Large Language Models While Reducing Cost and Improving Performance,arXiv,2023,full_text,include,Foundational LLM cascade and cost-aware routing baseline,codex,2026-07-11
routellm_2024,RouteLLM: Learning to Route LLMs with Preference Data,arXiv,2024,full_text,include,Direct LLM routing baseline with cost-quality tradeoff but no delayed settlement or multi-tenant budget isolation,codex,2026-07-11
hybridllm_2024,HYBRID LLM: Cost-Efficient and Quality-Aware Query Routing,ICLR,2024,full_text,include,Direct query router baseline with tunable quality-cost tradeoff but no budget ledger,codex,2026-07-11
conformal_routing_2026,Conformal LLM Routing with Distribution-Free Safety Guarantees,ACL SRW,2026,full_text,include,Important safety-guaranteed router baseline but not multi-tenant reserve-settle control,codex,2026-07-11
inferencedynamics_2026,InferenceDynamics: Adaptive LLM Routing through Structured Capability and Knowledge Profiling,ACL,2026,full_text,include,Recent adaptable budget-aware router with RouteMix dataset but no delayed settlement or tenant liability ledger,codex,2026-07-11
flare_2026,FLARE: Fine-Grained Length-Aware Routing for Resource-Efficient Heterogeneous LLM Serving,ACL,2026,full_text,include,Recent length-aware cost-latency router closest to reservation-aware serving concerns but still lacks reserve-settle multi-tenant budgets,codex,2026-07-11
mtrouter_2026,MTRouter: Cost-Aware Multi-Turn LLM Routing with History-Model Joint Embeddings,ACL,2026,full_text,include,Important cost-aware multi-turn routing baseline but focused on long-horizon agent episodes not budget-safe gateway admission,codex,2026-07-11
routelmt_2026,RouteLMT: Learned Sample Routing for Hybrid LLM Translation Deployment,ACL Industry Track,2026,full_text,include,Peer-reviewed budget-allocation router with guarded regression analysis but still no delayed settlement or multi-tenant ledger,codex,2026-07-11
libra_2026,Libra: Flexible Request Partitioning and Scheduling for Serving Unbalanced and Dynamic LLM Workloads,USENIX NSDI,2026,full_text,include,Primary systems paper on unknown response-length serving and scheduling under SLOs,codex,2026-07-11
