dataset,prompt,model,correct,judge_score
W5-GSM8K,gsm8k-001,gpt-4o,1,5
W5-GSM8K,gsm8k-001,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-001,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-002,gpt-4o,1,1
W5-GSM8K,gsm8k-002,gpt-4o-mini,1,1
W5-GSM8K,gsm8k-002,gpt-4.1-nano,1,1
W5-GSM8K,gsm8k-003,gpt-4o,1,5
W5-GSM8K,gsm8k-003,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-003,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-004,gpt-4o,1,5
W5-GSM8K,gsm8k-004,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-004,gpt-4.1-nano,0,1
W5-GSM8K,gsm8k-005,gpt-4o,1,1
W5-GSM8K,gsm8k-005,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-005,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-006,gpt-4o,1,1
W5-GSM8K,gsm8k-006,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-006,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-007,gpt-4o,0,5
W5-GSM8K,gsm8k-007,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-007,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-008,gpt-4o,0,1
W5-GSM8K,gsm8k-008,gpt-4o-mini,0,1
W5-GSM8K,gsm8k-008,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-009,gpt-4o,0,5
W5-GSM8K,gsm8k-009,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-009,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-010,gpt-4o,0,5
W5-GSM8K,gsm8k-010,gpt-4o-mini,1,1
W5-GSM8K,gsm8k-010,gpt-4.1-nano,0,1
W5-GSM8K,gsm8k-011,gpt-4o,0,5
W5-GSM8K,gsm8k-011,gpt-4o-mini,0,1
W5-GSM8K,gsm8k-011,gpt-4.1-nano,0,1
W5-GSM8K,gsm8k-012,gpt-4o,0,5
W5-GSM8K,gsm8k-012,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-012,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-013,gpt-4o,0,5
W5-GSM8K,gsm8k-013,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-013,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-014,gpt-4o,1,5
W5-GSM8K,gsm8k-014,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-014,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-015,gpt-4o,1,5
W5-GSM8K,gsm8k-015,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-015,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-016,gpt-4o,1,5
W5-GSM8K,gsm8k-016,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-016,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-017,gpt-4o,1,5
W5-GSM8K,gsm8k-017,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-017,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-018,gpt-4o,0,1
W5-GSM8K,gsm8k-018,gpt-4o-mini,0,1
W5-GSM8K,gsm8k-018,gpt-4.1-nano,0,1
W5-GSM8K,gsm8k-019,gpt-4o,1,5
W5-GSM8K,gsm8k-019,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-019,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-020,gpt-4o,1,5
W5-GSM8K,gsm8k-020,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-020,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-021,gpt-4o,0,5
W5-GSM8K,gsm8k-021,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-021,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-022,gpt-4o,0,5
W5-GSM8K,gsm8k-022,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-022,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-023,gpt-4o,1,5
W5-GSM8K,gsm8k-023,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-023,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-024,gpt-4o,1,3
W5-GSM8K,gsm8k-024,gpt-4o-mini,1,3
W5-GSM8K,gsm8k-024,gpt-4.1-nano,1,1
W5-GSM8K,gsm8k-025,gpt-4o,1,5
W5-GSM8K,gsm8k-025,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-025,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-026,gpt-4o,1,5
W5-GSM8K,gsm8k-026,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-026,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-027,gpt-4o,1,5
W5-GSM8K,gsm8k-027,gpt-4o-mini,0,1
W5-GSM8K,gsm8k-027,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-028,gpt-4o,1,5
W5-GSM8K,gsm8k-028,gpt-4o-mini,1,1
W5-GSM8K,gsm8k-028,gpt-4.1-nano,1,1
W5-GSM8K,gsm8k-029,gpt-4o,1,5
W5-GSM8K,gsm8k-029,gpt-4o-mini,1,5
W5-GSM8K,gsm8k-029,gpt-4.1-nano,1,5
W5-GSM8K,gsm8k-030,gpt-4o,1,5
W5-GSM8K,gsm8k-030,gpt-4o-mini,0,5
W5-GSM8K,gsm8k-030,gpt-4.1-nano,0,5
W5-GSM8K,gsm8k-031,gpt-4o,0,5
