claim_id,claim_text,evidence_path,evidence_type,status,notes
A3-AUDIT-001,The clean remote baseline for Article 3 is origin/main at 07cdd3b,article3/operator_audit/version_audit.md,git_audit,verified,Based on clean worktree and git fetch
A3-AUDIT-002,The current operator supports post-hoc budgeting and reroute enforcement but not reserve-settle admission,article3/operator_audit/architecture.md,code_audit,verified,Backed by controller source review
A3-AUDIT-003,make test passes after installing envtest assets,article3/operator_audit/test_inventory.csv,test_run,verified,Observed on 2026-07-10
A3-AUDIT-004,Full go test currently fails only on e2e cluster connectivity,article3/operator_audit/test_inventory.csv,test_run,verified,Observed on 2026-07-10
GOVAR-CLAIM-001,GOV-AR targets joint admit queue reject abstain decisions under delayed token-cost feedback,article3/design/problem_formulation.md,design_claim,draft,Scientific framing to validate against literature
GOVAR-CLAIM-002,GOV-AR introduces reserved budget plus settled budget accounting,article3/design/gov_ar_algorithm.md,design_claim,draft,To be backed by implementation and experiments
GOVAR-IMPL-001,The Article 3 scaffold contains an idempotent request ledger with reserve settle and expiry transitions,article3/src/ledger/records.go,implementation,verified,Backed by unit tests in records_test.go
GOVAR-IMPL-002,The Article 3 scaffold distinguishes admit queue reject and abstain decisions,article3/src/admission/decision.go,implementation,verified,Backed by unit tests in decision_test.go
GOVAR-IMPL-003,The Article 3 scaffold contains a delayed-settlement replay harness linking admission and ledger,article3/src/trace_gateway/replay.go,implementation,verified,Backed by unit tests in replay_test.go
GOVAR-IMPL-004,The Article 3 scaffold includes simple drift detection and can abstain on drifted candidates,article3/src/predictor/drift.go,implementation,verified,Backed by predictor and replay tests
GOVAR-IMPL-005,The Article 3 scaffold supports both quantile and mean-plus-standard-deviation reservation bounds,article3/src/predictor/reservation.go,implementation,verified,Backed by reservation tests
GOVAR-IMPL-006,The replay harness can derive reservation amounts from predictor policies at runtime,article3/src/trace_gateway/replay.go,implementation,verified,Backed by replay predictor integration test
GOVAR-IMPL-007,The Article 3 scaffold includes a parametric experiment matrix over seeds and budgets for E1/E2,article3/cmd/experiment/matrix.go,implementation,verified,Backed by generated E1/E2 matrix outputs
GOVAR-IMPL-008,The Article 3 scaffold includes auto-generated comparison reports between reservation variants,article3/cmd/experiment/compare.go,implementation,verified,Backed by generated E1/E2 comparison outputs
