reference_id,year,venue,peer_reviewed,routing,admission,budget,unknown_output_cost,inflight_liability,delayed_settlement,multitenant,hard_governance,risk_bound,atomic_ledger,kubernetes_enforcement,datasets,main_difference,doi,url
pilot_2025,2025,Findings of ACL: EMNLP,yes,yes,no,yes,no,no,no,no,no,partial,no,no,no,offline preference plus online feedback,Routing under budget but not reserve-settle multi-tenant admission,10.18653/v1/2025.findings-emnlp.1301,https://aclanthology.org/2025.findings-emnlp.1301/
joulani_2013,2013,ICML PMLR,yes,no,no,no,no,no,yes,no,no,yes,no,no,not LLM-specific,Foundational delayed feedback theory but not LLM routing,none,https://proceedings.mlr.press/v28/joulani13.html
ssjf_2024,2024,ASPLOS workshop / arXiv,mixed,no,yes,no,yes,no,no,no,no,no,no,no,real-world datasets and production traces,Addresses serving latency with length prediction not tenant budget governance,none,https://arxiv.org/abs/2404.08509
forelen_2026,2026,arXiv preprint,no,no,no,no,yes,no,no,no,no,no,no,no,ForeLen benchmark,Length prediction baseline for reservation but not routing or governance,10.48550/arXiv.2602.11812,https://arxiv.org/abs/2602.11812
cbwk_2023,2023,AISTATS PMLR,yes,no,no,yes,no,no,no,no,no,yes,no,no,synthetic theory setting,Strong contextual knapsack theory but not LLM-specific and not delayed-settlement,none,https://proceedings.mlr.press/v206/han23b.html
frugalgpt_2023,2023,arXiv preprint,no,yes,no,yes,no,no,no,no,no,no,no,no,benchmark query sets and API evaluations,Foundational cascade but not admission control and not governance aware,10.48550/arXiv.2305.05176,https://arxiv.org/abs/2305.05176
routellm_2024,2024,arXiv preprint,no,yes,no,yes,no,no,no,no,no,no,no,no,MT-Bench and router benchmarks,Routes between strong and weak models but lacks delayed settlement and tenant isolation,10.48550/arXiv.2406.18665,https://arxiv.org/abs/2406.18665
hybridllm_2024,2024,ICLR,yes,yes,no,partial,no,no,no,no,no,no,no,no,benchmark query sets across model pairs,Quality-cost router with dynamic quality target but no budget reservation or hard governance,none,https://proceedings.iclr.cc/paper_files/paper/2024/file/b47d93c99fa22ac0b377578af0a1f63a-Paper-Conference.pdf
conformal_routing_2026,2026,ACL SRW,yes,yes,no,no,no,no,no,no,no,yes,no,no,GSM8K and MMLU with RouterBench models,Provides safety-calibrated routing but not tenant budget control or reserve-settle accounting,10.18653/v1/2026.acl-srw.70,https://aclanthology.org/2026.acl-srw.70/
inferencedynamics_2026,2026,ACL Long Papers,yes,yes,no,yes,no,no,no,no,no,no,no,no,RouteMix plus MMLU-Pro GPQA BigGenBench LiveBench,Scalable adaptable routing with cost constraints but no delayed settlement reservation or operator ledger,none,https://aclanthology.org/2026.acl-long.383.pdf
flare_2026,2026,ACL Long Papers,yes,yes,no,partial,yes,no,no,no,no,no,no,no,heterogeneous serving workloads and RouterBench-style comparisons,Length-aware cost-latency router closest to serving efficiency but without tenant-isolated reserve-settle enforcement,none,https://aclanthology.org/2026.acl-long.1018.pdf
mtrouter_2026,2026,ACL Long Papers,yes,yes,no,yes,no,no,no,no,no,no,no,no,ScienceWorld and HLE trajectories,Cost-aware multi-turn routing for agent episodes rather than gateway admission with delayed billing,none,https://aclanthology.org/2026.acl-long.2045.pdf
